,BF,area,site,coord1,coord2,coord3
JLY020,0,NA,JLY020,-0.51,0.14142135623730986,-0.24041630560342647
JLY021c,13500,A1,JLY021c,-0.52,0.20506096654409922,-0.3464823227814086
JLY022b,25000,A1,JLY022b,-0.54,0.22627416997969585,-0.36769552621700524
JLY023d,9000,A1,JLY023d,-0.4700000000000001,0.22454779057433463,-0.5060417865633077
JLY024c,5000,A1,JLY024c,-0.5900000000000001,0.2946501908562653,-0.4772643554974184
JLY025c,3500,A1,JLY025c,-0.59,0.3353354717135348,-0.49198589554037114
JLY026f,1500,A1,JLY026f,-0.5499999999999999,0.38278385675875526,-0.6080102951471238
JLY028a,200,NA,JLY028a,-0.59,0.40910925182019,-0.6439950466231277
JLY029e,300,NA,JLY029e,-0.53,0.3877002374219787,-0.679844486557729
JLY030c,125,NA,JLY030c,-0.51,0.376051060002329,-0.7087211018949026
JLY031c,1400,PEG,JLY031c,-0.55,0.5390193870831435,-0.8245350813328148
JLY032b,6800,PEG,JLY032b,-0.5100000000000001,0.4789900180248801,-0.8567196522973689
JLY033b,4000,PEG,JLY033b,-0.5100000000000001,0.4543635590118538,-0.8251992221530999
JLY034a,15000,PEG,JLY034a,-0.4600000000000001,0.4193961433019634,-0.8778991257447736
JLY035d,400,PEG,JLY035d,-0.4900000000000002,0.3711293616807357,-0.8648485398602752
JLY036a,16000,NA,JLY036a,-0.4900000000000002,0.2945403554540208,-0.7343336973127539
JLY037a,1200,A1,JLY037a,-0.5700000000000003,0.22066097841494176,-0.6397724068799471
JLY038a,4000,A1,JLY038a,-0.6200000000000001,0.15810869447755166,-0.5109810571152363
JLY039b,8000,A1,JLY039b,-0.5200000000000002,0.1029479417250809,-0.5540773603880326
JLY040b,32000,A1,JLY040b,-0.3500000000000001,0.1470303814027018,-0.6592283875445409
JLY041a,6500,A1,JLY041a,-0.5200000000000002,0.08398952111416402,-0.7084813055705936
JLY042a,600,NA,JLY042a,-0.6200000000000001,0.14555566864673014,-0.7872823809312662
JLY043a,500,NA,JLY043a,-0.6200000000000001,0.17190562044256658,-0.8047660887862109
JLY044a,1000,NA,JLY044a,-0.5700000000000003,0.17190562044256658,-0.8047660887862109
JLY045a,250,PEG,JLY045a,-0.5700000000000003,0.21943504568580924,-0.8818436713640729
JLY046a,5000,PEG,JLY046a,-0.7200000000000002,0.2273151532218763,-0.8756870566108165
